Subject,Time,Interest,Value,Choice,Compet,Tension,Feedback,GVF,Total,Motivation
1,1,15,11,12,9,6,N,20,41,High
2,1,13,11,14,15,3,N,21,50,High
3,1,7,9,15,9,5,N,15,35,Low
4,1,13,6,15,6,6,P,23,34,Low
5,1,12,9,13,12,6,P,20,40,Low
6,1,14,14,12,11,11,P,20,40,Low
7,1,14,11,15,12,6,N,24,46,High
8,1,13,8,13,12,9,N,21,37,Low
9,1,15,13,15,13,7,P,24,49,High
10,1,13,11,15,13,6,P,24,46,High
11,1,15,14,14,15,10,P,24,48,High
12,1,15,11,15,12,4,N,22,49,High
13,1,13,11,15,11,8,N,25,44,High
14,1,13,12,12,12,7,P,24,42,High
15,1,14,13,14,12,11,N,25,42,High
16,1,13,8,10,6,10,P,23,27,Low
17,1,13,15,15,9,9,N,25,43,High
18,1,8,7,11,11,11,N,23,26,Low
19,1,14,12,14,11,7,N,24,44,High
20,1,7,10,10,6,11,P,22,22,Low
21,1,13,13,14,10,14,P,25,36,Low
22,1,8,11,11,12,9,P,23,33,Low
23,1,9,10,10,7,8,P,20,28,Low
24,1,13,8,12,11,11,N,25,33,Low
1,2,14,9,15,7,5,N,20,40,High
2,2,15,13,15,15,7,N,21,51,High
3,2,13,9,11,7,3,N,15,37,High
4,2,13,3,12,10,4,N,23,34,High
5,2,13,9,13,13,6,N,20,42,High
6,2,11,13,15,11,7,N,20,43,High
7,2,14,12,15,13,10,N,24,44,High
8,2,14,5,15,12,12,N,21,34,High
9,2,12,11,15,13,5,N,24,46,High
10,2,14,13,15,15,7,N,24,50,High
11,2,15,13,15,14,11,N,24,46,High
12,2,14,10,15,10,4,N,22,45,High
13,2,13,15,15,7,9,P,25,41,High
14,2,15,14,14,13,8,P,24,48,Low
15,2,15,15,14,10,11,P,25,43,Low
16,2,15,15,7,15,11,P,23,41,Low
17,2,12,14,15,14,8,P,25,47,Low
18,2,11,6,12,12,7,P,23,34,Low
19,2,15,15,12,15,4,P,24,53,Low
20,2,10,12,14,15,10,P,22,41,Low
21,2,14,12,12,9,7,P,25,40,Low
22,2,10,12,15,15,5,P,23,47,Low
23,2,11,13,14,14,9,P,20,43,Low
24,2,10,12,15,15,12,P,25,40,Low
